id,name,est_diameter_min,est_diameter_max,orbiting_body,sentry_object,absolute_magnitude,hazardous
2162635,162635 (2000 SS164),1.198270801,2.679414966,Earth,False,16.73,False
2277475,277475 (2005 WK4),0.2658,0.594346868,Earth,False,20.0,True
2512244,512244 (2015 YE18),0.722029558,1.614507173,Earth,False,17.83,False
3596030,(2012 BV13),0.096506147,0.215794305,Earth,False,22.2,False
3667127,(2014 GE35),0.255008688,0.570216761,Earth,False,20.09,True
54138696,(2021 GY23),0.036354232,0.081290534,Earth,False,24.32,False
54189957,(2021 PY40),0.171614894,0.383742569,Earth,False,20.95,False
54230078,(2021 XD6),0.005327887,0.011913517,Earth,False,28.49,False
2088213,88213 (2001 AF2),0.350392641,0.783501764,Earth,False,19.4,False
3766065,(2016 YM),0.105816886,0.23661375,Earth,False,22.0,False
54049873,(2020 OT6),0.252670754,0.564988982,Earth,False,20.11,True
54099949,(2020 XW4),0.152951935,0.342010925,Earth,False,21.2,False
54104555,(2021 AW1),0.069912523,0.156329154,Earth,False,22.9,False
54235433,(2022 AM),0.006145468,0.013741685,Earth,False,28.18,False
2198752,198752 (2005 EA60),0.290104841,0.648694146,Earth,False,19.81,False
3069224,(2000 YT134),0.483676488,1.081533507,Earth,False,18.7,False
3739154,(2016 AF2),0.006991252,0.015632915,Earth,False,27.9,False
3795026,(2017 YU3),0.04411182,0.098637028,Earth,False,23.9,False
3797456,(2018 AN2),0.029144391,0.065168838,Earth,False,24.8,False
3825138,(2018 LC3),0.46190746,1.032856481,Earth,False,18.8,False
3835974,(2018 VK1),0.009784868,0.02187963,Earth,False,27.17,False
3842597,(2019 KN2),0.010105434,0.022596438,Earth,False,27.1,False
54053939,(2020 RD4),0.003051792,0.006824015,Earth,False,29.7,False
2506491,506491 (2003 UW29),0.201629919,0.450858206,Earth,False,20.6,True
3329370,(2006 GB1),0.050647146,0.113250461,Earth,False,23.6,False
3623582,(2013 AU27),0.4411182,0.986370281,Earth,False,18.9,False
3768024,(2017 CQ),0.175612319,0.392681082,Earth,False,20.9,False
3781344,(2017 RV),0.110803882,0.247765013,Earth,False,21.9,True
54076362,(2020 UF5),0.031956189,0.07145621,Earth,False,24.6,False
54105263,(2021 AZ4),0.136318556,0.304817558,Earth,False,21.45,False
54232321,(2022 AB),0.050647146,0.113250461,Earth,False,23.6,False
2007480,7480 Norwan (1994 PC),1.02933082,2.301653685,Earth,False,17.06,False
2020425,20425 (1998 VD35),0.22108281,0.494356193,Earth,False,20.4,True
2337345,337345 (2001 KO20),0.201629919,0.450858206,Earth,False,20.6,False
3608427,(2012 RO1),0.305179233,0.682401509,Earth,False,19.7,False
3654336,(2013 XS3),0.223128464,0.498930414,Earth,False,20.38,False
54016465,(2020 GF1),0.014606796,0.03266179,Earth,False,26.3,False
54235525,(2022 AP1),0.005656594,0.012648528,Earth,False,28.36,False
2002100,2100 Ra-Shalom (1978 RA),1.508533561,3.373183589,Earth,False,16.23,False
2003362,3362 Khufu (1984 QA),0.58150704,1.30028927,Earth,False,18.3,True
2004688,4688 (1980 WF),0.337718597,0.755161741,Earth,False,19.48,False
2252558,252558 (2001 WT1),0.242412481,0.542050786,Earth,False,20.2,False
2452334,452334 (2001 LB),0.167708462,0.375007522,Earth,False,21.0,False
3067492,(2000 YS134),0.063760979,0.142573883,Earth,False,23.1,False
3313974,(2006 BV39),0.004023046,0.008995804,Earth,False,29.1,False
3379718,(2007 NL1),0.152951935,0.342010925,Earth,False,21.2,False
3463175,(2009 LW2),0.305179233,0.682401509,Earth,False,19.7,True
3572706,(2011 OB),0.366906138,0.820427065,Earth,False,19.3,True
3731680,(2015 UK),0.013949382,0.031191767,Earth,False,26.4,False
3740825,(2016 BN1),0.197949759,0.442629117,Earth,False,20.64,False
3986682,(2020 AN3),0.211132445,0.472106499,Earth,False,20.5,True
2085182,85182 (1991 AQ),1.024601475,2.291078547,Earth,False,17.07,True
3395956,(2007 WM3),0.063760979,0.142573883,Earth,False,23.1,False
3624232,(2013 AJ91),0.334622375,0.748238376,Earth,False,19.5,False
3794971,(2017 YP1),0.019255508,0.043056624,Earth,False,25.7,False
54158069,(2021 LW3),0.064055286,0.143231975,Earth,False,23.09,False
3557536,(2011 CL50),0.009216266,0.020608196,Earth,False,27.3,False
3656918,(2014 BF3),0.167708462,0.375007522,Earth,False,21.0,False
54057195,(2020 FG15),0.055533491,0.124176661,Earth,False,23.4,False
54137509,(2021 GS12),0.020162992,0.045085821,Earth,False,25.6,False
2503880,503880 (2000 YJ29),0.689532875,1.54184238,Earth,False,17.93,False
3172329,(2004 BK11),0.088014652,0.196806745,Earth,False,22.4,False
3740044,(2016 AJ165),0.022108281,0.049435619,Earth,False,25.4,False
3776011,(2017 MZ2),0.020162992,0.045085821,Earth,False,25.6,False
54017304,(2020 KB7),0.008801465,0.019680675,Earth,False,27.4,False
54091635,(2020 WR1),0.034241673,0.076566709,Earth,False,24.45,False
2086450,86450 (2000 CK33),0.555334912,1.241766613,Earth,False,18.4,False
2162854,162854 (2001 DE47),0.42320908,0.946324271,Earth,False,18.99,False
2425755,425755 (2011 CP4),0.152951935,0.342010925,Earth,False,21.2,True
3605793,(2012 MP),0.167708462,0.375007522,Earth,False,21.0,False
3610526,(2012 TO139),0.284809831,0.636854144,Earth,False,19.85,True
3625335,(2013 BC70),0.040230458,0.089958039,Earth,False,24.1,False
3653190,(2013 US3),0.145396843,0.325117225,Earth,False,21.31,True
3685814,(2014 RF11),0.046190746,0.103285648,Earth,False,23.8,False
3753287,(2016 JU28),0.007665756,0.017141151,Earth,False,27.7,False
54248008,(2022 DG),0.009474471,0.021185562,Earth,False,27.24,False
2026663,26663 (2000 XK47),0.589596608,1.318378096,Earth,False,18.27,True
2138911,138911 (2001 AE2),0.375452479,0.839537266,Earth,False,19.25,False
2153219,153219 (2000 YM29),0.520660914,1.164233197,Earth,False,18.54,False
2162117,162117 (1998 SD15),0.421264611,0.941976306,Earth,False,19.0,False
2230111,230111 (2001 BE10),0.40230458,0.899580388,Earth,False,19.1,True
3656413,(2014 BP),0.025383703,0.056759685,Earth,False,25.1,False
3673866,(2014 MR5),0.036690614,0.082042707,Earth,False,24.3,False
3699442,(2014 WP362),0.060891262,0.136157002,Earth,False,23.2,False
54017323,(2020 KP7),0.110803882,0.247765013,Earth,False,21.9,False
54101674,(2020 YL2),0.026702688,0.059709025,Earth,False,24.99,False
54104542,(2021 AG1),0.037545248,0.083953727,Earth,False,24.25,False
54264233,(2022 FY),0.00708851,0.015850391,Earth,False,27.87,False
2068031,68031 (2000 YK29),0.628861456,1.406176963,Earth,False,18.13,False
2455199,455199 (2000 YK4),0.291443905,0.651688382,Earth,False,19.8,False
3071939,(2001 BB16),0.060891262,0.136157002,Earth,False,23.2,False
3102762,(2002 AA29),0.040230458,0.089958039,Earth,False,24.1,False
3655734,(2014 AB),0.167708462,0.375007522,Earth,False,21.0,False
3841199,(2019 GK20),0.030517923,0.068240151,Earth,False,24.7,False
3125003,(2002 JE9),0.139493823,0.311917671,Earth,False,21.4,True
3471976,(2009 TD17),0.007665756,0.017141151,Earth,False,27.7,False
3768653,(2017 CW1),0.139493823,0.311917671,Earth,False,21.4,False
3790129,(2017 XD),0.876102615,1.959025002,Earth,False,17.41,False
3799636,(2018 CV13),0.155079709,0.346768771,Earth,False,21.17,False
3842613,(2019 KZ2),0.139493823,0.311917671,Earth,False,21.4,False
54049789,(2020 OT4),0.014606796,0.03266179,Earth,False,26.3,False
2612358,612358 (2002 JE9),0.140784543,0.314803809,Earth,False,21.38,True
3072545,(2001 BD16),0.269497646,0.602615057,Earth,False,19.97,False
3398648,(2007 YM56),0.091317703,0.204192591,Earth,False,22.32,False
