id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous,year
2001566,1566 Icarus (1949 MA),1.427430515,3.191831664,108801.2964,8053781.761,Earth,FALSE,16.35,TRUE,1949
2001580,1580 Betulia (1950 KA),3.065878759,6.855513317,105157.7759,35573935.51,Earth,FALSE,14.69,FALSE,1950
2001620,1620 Geographos (1951 RA),2.272767323,5.082062231,35077.88908,18715095.1,Earth,FALSE,15.34,TRUE,1951
2001627,1627 Ivar (1929 SH),7.45684261,16.67400697,37802.19171,42485508.81,Earth,FALSE,12.76,FALSE,1929
2001685,1685 Toro (1948 OA),3.602093458,8.054525834,60803.60959,23419550.29,Earth,FALSE,14.34,FALSE,1948
2001862,1862 Apollo (1932 HA),1.594244681,3.564839479,69044.81587,10684536.29,Earth,FALSE,16.11,TRUE,1932
2001863,1863 Antinous (1948 EA),2.210828104,4.943561926,72847.54841,35481181.1,Earth,FALSE,15.4,FALSE,1948
2001864,1864 Daedalus (1971 FA),2.954982931,6.607542706,79332.75012,40567121.87,Earth,FALSE,14.77,FALSE,1971
2001865,1865 Cerberus (1971 UA),1.198270801,2.679414966,73716.29191,35019093.42,Earth,FALSE,16.73,FALSE,1971
2001866,1866 Sisyphus (1972 XA),8.640820365,19.32146172,86394.01329,67375006.09,Earth,FALSE,12.44,FALSE,1972
2001916,1916 Boreas (1953 RA),2.80902094,6.281161771,25568.50595,53319315.27,Earth,FALSE,14.88,FALSE,1953
2001917,1917 Cuyo (1968 AA),3.585543342,8.017518649,72903.68786,61922309.05,Earth,FALSE,14.35,FALSE,1968
2001943,1943 Anteros (1973 EC),1.934438721,4.325536477,39628.32638,40982671.14,Earth,FALSE,15.69,FALSE,1973
2001980,1980 Tezcatlipoca (1950 LA),4.619074603,10.32856481,50104.59217,49427995.16,Earth,FALSE,13.8,FALSE,1950
2001981,1981 Midas (1973 EA),2.401900301,5.370812349,95427.60189,13399773.01,Earth,FALSE,15.22,TRUE,1973
2002059,2059 Baboquivari (1963 UA),1.700415193,3.802243961,26427.69253,70947620.41,Earth,FALSE,15.97,FALSE,1963
2002061,2061 Anza (1960 UA),1.420872067,3.17716653,41429.18668,30009338.65,Earth,FALSE,16.36,FALSE,1960
2002062,2062 Aten (1976 AA),1.010543415,2.259643771,36907.7966,21883274.69,Earth,FALSE,17.1,FALSE,1976
2002063,2063 Bacchus (1977 HB),0.930154254,2.079888141,34486.04072,18198419.9,Earth,FALSE,17.28,FALSE,1977
2002100,2100 Ra-Shalom (1978 RA),1.508533561,3.373183589,43870.62941,22425771.28,Earth,FALSE,16.23,FALSE,1978
2002101,2101 Adonis (1936 CA),0.497227313,1.111834072,106221.7733,24086731.63,Earth,FALSE,18.64,TRUE,1936
2002102,2102 Tantalus (1975 YA),1.677084622,3.750075218,117951.4076,20567325.3,Earth,FALSE,16,TRUE,1975
2002201,2201 Oljato (1947 XC),2.368944994,5.297122041,69559.72129,55334045.19,Earth,FALSE,15.25,TRUE,1947
2002212,2212 Hephaistos (1978 SB),5.230641758,11.69607054,135956.2515,44788213.32,Earth,FALSE,13.53,FALSE,1978
2002329,2329 Orthos (1976 WA),3.255029858,7.278468031,79986.52183,23663151.12,Earth,FALSE,14.56,FALSE,1976
2002340,2340 Hathor (1976 UA),0.228325794,0.510551996,42881.94379,7217561.099,Earth,FALSE,20.33,TRUE,1976
2003103,3103 Eger (1982 BB),2.368944994,5.297122041,55482.08635,17371863.73,Earth,FALSE,15.25,FALSE,1982
