,id,miss_distance,name,est_diameter_min,est_diameter_max,relative_velocity,orbiting_body,sentry_object,absolute_magnitude,hazardous,year
0,2000433,26729521.14,433 Eros (A898 PA),23.04384666,51.52760759,21402.70525,Earth,False,10.31,False,33
1,2000719,42582881.06,719 Albert (A911 TB),2.04434871,4.571302686,27551.59719,Earth,False,15.57,False,19
2,2001036,53721237.82,1036 Ganymed (A924 UB),37.89264984,84.73054089,51496.92329,Earth,False,9.23,False,036
3,2001566,8053781.761,1566 Icarus (1949 MA),1.427430515,3.191831664,108801.2964,Earth,False,16.35,True,566
4,2001580,35573935.51,1580 Betulia (1950 KA),3.065878759,6.855513317,105157.7759,Earth,False,14.69,False,580
5,2001620,18715095.1,1620 Geographos (1951 RA),2.272767323,5.082062231,35077.88908,Earth,False,15.34,True,620
6,2001627,42485508.81,1627 Ivar (1929 SH),7.45684261,16.67400697,37802.19171,Earth,False,12.76,False,627
7,2001685,23419550.29,1685 Toro (1948 OA),3.602093458,8.054525834,60803.60959,Earth,False,14.34,False,685
8,2001862,10684536.29,1862 Apollo (1932 HA),1.594244681,3.564839479,69044.81587,Earth,False,16.11,True,862
9,2001863,35481181.1,1863 Antinous (1948 EA),2.210828104,4.943561926,72847.54841,Earth,False,15.4,False,863
10,2001864,40567121.87,1864 Daedalus (1971 FA),2.954982931,6.607542706,79332.75012,Earth,False,14.77,False,864
11,2001865,35019093.42,1865 Cerberus (1971 UA),1.198270801,2.679414966,73716.29191,Earth,False,16.73,False,865
12,2001866,67375006.09,1866 Sisyphus (1972 XA),8.640820365,19.32146172,86394.01329,Earth,False,12.44,False,866
13,2001916,53319315.27,1916 Boreas (1953 RA),2.80902094,6.281161771,25568.50595,Earth,False,14.88,False,916
14,2001917,61922309.05,1917 Cuyo (1968 AA),3.585543342,8.017518649,72903.68786,Earth,False,14.35,False,917
15,2001943,40982671.14,1943 Anteros (1973 EC),1.934438721,4.325536477,39628.32638,Earth,False,15.69,False,943
16,2001980,49427995.16,1980 Tezcatlipoca (1950 LA),4.619074603,10.32856481,50104.59217,Earth,False,13.8,False,980
17,2001981,13399773.01,1981 Midas (1973 EA),2.401900301,5.370812349,95427.60189,Earth,False,15.22,True,981
18,2002059,70947620.41,2059 Baboquivari (1963 UA),1.700415193,3.802243961,26427.69253,Earth,False,15.97,False,059
19,2002061,30009338.65,2061 Anza (1960 UA),1.420872067,3.17716653,41429.18668,Earth,False,16.36,False,061
20,2002062,21883274.69,2062 Aten (1976 AA),1.010543415,2.259643771,36907.7966,Earth,False,17.1,False,062
21,2002063,18198419.9,2063 Bacchus (1977 HB),0.930154254,2.079888141,34486.04072,Earth,False,17.28,False,063
22,2002100,22425771.28,2100 Ra-Shalom (1978 RA),1.508533561,3.373183589,43870.62941,Earth,False,16.23,False,100
23,2002101,24086731.63,2101 Adonis (1936 CA),0.497227313,1.111834072,106221.7733,Earth,False,18.64,True,101
24,2002102,20567325.3,2102 Tantalus (1975 YA),1.677084622,3.750075218,117951.4076,Earth,False,16.0,True,102
25,2002201,55334045.19,2201 Oljato (1947 XC),2.368944994,5.297122041,69559.72129,Earth,False,15.25,True,201
26,2002212,44788213.32,2212 Hephaistos (1978 SB),5.230641758,11.69607054,135956.2515,Earth,False,13.53,False,212
27,2002329,23663151.12,2329 Orthos (1976 WA),3.255029858,7.278468031,79986.52183,Earth,False,14.56,False,329
28,2002340,7217561.099,2340 Hathor (1976 UA),0.228325794,0.510551996,42881.94379,Earth,False,20.33,True,340
29,2003103,17371863.73,3103 Eger (1982 BB),2.368944994,5.297122041,55482.08635,Earth,False,15.25,False,103
30,2003122,7066521.315,3122 Florence (1981 ET3),4.135756649,9.247833005,48724.63642,Earth,False,14.04,True,122
31,2003200,10312034.21,3200 Phaethon (1983 TB),3.503926411,7.835017643,114797.8645,Earth,False,14.4,True,200
32,2003288,40375629.13,3288 Seleucus (1982 DV),2.262324906,5.058712276,37261.19691,Earth,False,15.35,False,288
33,2003352,61165589.56,3352 McAuliffe (1981 CW),1.724070324,3.855138443,5582.774123,Earth,False,15.94,False,352
34,2003360,44176048.07,3360 Syrinx (1981 VA),1.724070324,3.855138443,69230.19165,Earth,False,15.94,False,360
35,2003361,5768604.435,3361 Orpheus (1982 HR),0.35200998,0.787118244,29301.83989,Earth,False,19.39,True,361
36,2003362,22412353.11,3362 Khufu (1984 QA),0.58150704,1.30028927,57478.09435,Earth,False,18.3,True,362
37,2003553,52473415.84,3553 Mera (1985 JA),1.401376972,3.133574171,65437.77555,Earth,False,16.39,False,553
38,2003554,37699511.61,3554 Amun (1986 EB),1.822027706,4.074177807,46092.90709,Earth,False,15.82,False,554
39,2003671,41949207.48,3671 Dionysus (1984 KD),1.338304618,2.992540101,50621.39708,Earth,False,16.49,True,671
40,2003691,54023876.05,3691 Bede (1982 FT),2.901048414,6.48694146,38437.06848,Earth,False,14.81,False,691
41,2003752,20607941.21,3752 Camillo (1985 PA),2.390864572,5.346135707,108698.2165,Earth,False,15.23,False,752
42,2003753,49029697.57,3753 Cruithne (1986 TO),2.091967709,4.677782004,73253.05915,Earth,False,15.52,False,753
43,2003838,29513309.06,3838 Epona (1986 WA),1.899131235,4.246586539,106839.2812,Earth,False,15.73,False,838
44,2003908,20858235.83,3908 Nyx (1980 PA),0.904804968,2.023205415,31952.86597,Earth,False,17.34,False,908
45,2003988,27726850.3,3988 Huma (1986 LA),0.683211199,1.527706684,28559.17027,Earth,False,17.95,False,988
46,2004015,56724390.08,4015 Wilson-Harrington (1979 VA),1.661709017,3.715694322,74739.55508,Earth,False,16.02,True,015
47,2004034,21915298.0,4034 Vishnu (1986 PA),0.552783379,1.236061213,44957.98531,Earth,False,18.41,True,034
